Ticker,Name,ISIN,URL,KGV_1,KUV_1,Datum_1,KGV_2,KUV_2,Datum_2
NA9,,,https://www.boerse.de/aktien/nagarro-se-na/DE000A3H2200,,,,,,
NEM,,,https://www.boerse.de/aktien/nemetschek-se/DE0006452907,,,,,,
NFN,,,https://www.boerse.de/aktien/nfon-ag/DE000A0N4N52,,,,,,
NDX1,,,https://www.boerse.de/aktien/nordex-se/DE000A0D6554,,,,,,
NOEJ,,,https://www.boerse.de/aktien/norma-group-se-na/DE000A1H8BV3,,,,,,
OHB,,,https://www.boerse.de/aktien/ohb-se/DE0005936124,,,,,,
OBCK,,,https://www.boerse.de/aktien/ottobock-se-co/DE000BCK2223,,,,,,
O4B,,,https://www.boerse.de/aktien/ovb-holding/DE0006286560,,,,,,
PGN,,,https://www.boerse.de/aktien/paragon-kgaa/DE0005558696,,,,,,
PAT,,,https://www.boerse.de/aktien/patrizia-se-na-on/DE000PAT1AG3,,,,,,
PTP,,,https://www.boerse.de/aktien/pentixapharm-holding/DE000A40AEG0,,,,,,
PNE3,,,https://www.boerse.de/aktien/pne-ag-na/DE000A0JBPG2,,,,,,
P911,,,https://www.boerse.de/aktien/porsche-ag/DE000PAG9113,,,,,,
PCZ,,,https://www.boerse.de/aktien/procredit-holding-ag-na-eo-5/DE0006223407,,,,,,
PSM,,,https://www.boerse.de/aktien/prosiebensat-1-media-se-na/DE000PSM7770,,,,,,
PSAN,,,https://www.boerse.de/aktien/psi-software/DE000A0Z1JH9,,,,,,
PUM,,,https://www.boerse.de/aktien/puma/DE0006969603,,,,,,
TPE,,,https://www.boerse.de/aktien/pva-tepla-ag/DE0007461006,,,,,,
PWO,,,https://www.boerse.de/aktien/pwo/DE0006968001,,,,,,
QSC,,,https://www.boerse.de/aktien/q-beyond-ag-na/DE0005137004,,,,,,
RSL2,,,https://www.boerse.de/aktien/r-stahl-ag-na/DE000A1PHBB5,,,,,,
RAA,,,https://www.boerse.de/aktien/rational/DE0007010803,,,,,,
R3NK,,,https://www.boerse.de/aktien/renk-group/DE000RENK730,,,,,,
RHM,,,https://www.boerse.de/aktien/rheinmetall/DE0007030009,,,,,,
RHK,,,https://www.boerse.de/aktien/rhoen-klinikum/DE0007042301,,,,,,
RWE,,,https://www.boerse.de/aktien/rwe-ag/DE0007037129,,,,,,
SFQ,,,https://www.boerse.de/aktien/saf-holland-se-inh-eo-1/DE000SAFH001,,,,,,
SZG,,,https://www.boerse.de/aktien/salzgitter-ag/DE0006202005,,,,,,
SAP,,,https://www.boerse.de/aktien/sap-se/DE0007164600,65.54,5.98,2026-02-25,,,
SRT,,,https://www.boerse.de/aktien/sartorius-ag/DE0007165607,,,,,,
SRT3,,,https://www.boerse.de/aktien/sartorius-ag-vzo/DE0007165631,,,,,,
SHA,,,https://www.boerse.de/aktien/schaeffler-ag-na/DE000SHA0100,,,,,,
1SXP,,,https://www.boerse.de/aktien/schott-pharma-ag-co/DE000A3ENQ51,,,,,,
G24,,,https://www.boerse.de/aktien/scout24-ag-na/DE000A12DM80,,,,,,
YSN,,,https://www.boerse.de/aktien/secunet-security-ag/DE0007276503,,,,,,
SJJ,,,https://www.boerse.de/aktien/serviceware-se/DE000A2G8X31,,,,,,
F3C,,,https://www.boerse.de/aktien/sfc-energy/DE0007568578,,,,,,
SGL,,,https://www.boerse.de/aktien/sgl-carbon-se/DE0007235301,,,,,,
SLYG,,,https://www.boerse.de/aktien/shelly-group/BG1100003166,,,,,,
SIE,,,https://www.boerse.de/aktien/siemens-ag-na/DE0007236101,,,,,,
ENR,,,https://www.boerse.de/aktien/siemens-energy-ag-na/DE000ENER6Y0,,,,,,
SHL,,,https://www.boerse.de/aktien/siemens-health-ag-na/DE000SHL1006,,,,,,
WAF,,,https://www.boerse.de/aktien/siltronic-ag-na/DE000WAF3001,,,,,,
SNG,,,https://www.boerse.de/aktien/singulus-technol-eo-1/DE000A1681X5,,,,,,
SIX2,,,https://www.boerse.de/aktien/sixt-se-st/DE0007231326,,,,,,
SIX3,,,https://www.boerse.de/aktien/sixt-se-vzo/DE0007231334,,,,,,
S92,,,https://www.boerse.de/aktien/sma-solar-technol-ag/DE000A0DJ6J9,,,,,,
S188,,,https://www.boerse.de/aktien/smt-scharf/DE000A3DRAE2,,,,,,
SHF,,,https://www.boerse.de/aktien/snp-schneider-neureither/DE0007203705,,,,,,
SYT,,,https://www.boerse.de/aktien/softing-ag/DE0005178008,,,,,,
SPG,,,https://www.boerse.de/aktien/springer-nature-ag-co/DE000SPG1003,,,,,,
STM,,,https://www.boerse.de/aktien/stabilus-se-inh-eo-01/DE000STAB1L8,,,,,,
SBS,,,https://www.boerse.de/aktien/stratec-se-na/DE000STRA555,,,,,,
SAX,,,https://www.boerse.de/aktien/stroeer-se-co/DE0007493991,,,,,,
SZU,,,https://www.boerse.de/aktien/suedzucker-ag/DE0007297004,,,,,,
SUR,,,https://www.boerse.de/aktien/surteco-group-se/DE0005176903,,,,,,
SMHN,,,https://www.boerse.de/aktien/suss-microtec/DE000A1K0235,,,,,,
SY1,,,https://www.boerse.de/aktien/symrise-ag/DE000SYM9999,,,,,,
SYZ,,,https://www.boerse.de/aktien/syzygy-ag/DE0005104806,,,,,,
TEG,,,https://www.boerse.de/aktien/tag-immobilien/DE0008303504,,,,,,
TTK,,,https://www.boerse.de/aktien/takkt-ag/DE0007446007,,,,,,
TLX,,,https://www.boerse.de/aktien/talanx-ag-na/DE000TLX1005,,,,,,
TMV,,,https://www.boerse.de/aktien/teamviewer-se/DE000A2YN900,,,,,,
TTR1,,,https://www.boerse.de/aktien/technotrans-se-na/DE000A0XYGA7,,,,,,
TKA,,,https://www.boerse.de/aktien/thyssenkrupp-ag/DE0007500001,,,,,,
NCH2,,,https://www.boerse.de/aktien/thyssenkrupp-nucera-ag/DE000NCA0001,,,,,,
TKMS,,,https://www.boerse.de/aktien/tkms-ag-co-kgaa/DE000TKMS001,,,,,,
8TRA,,,https://www.boerse.de/aktien/traton-se/DE000TRAT0N7,,,,,,
TUI1,,,https://www.boerse.de/aktien/tui/DE000TUAG505,,,,,,
UN01,,,https://www.boerse.de/aktien/uniper-se-na/DE000UNSE026,,,,,,
ULC,,,https://www.boerse.de/aktien/united-labels/DE0005489561,,,,,,
UTDI,,,https://www.boerse.de/aktien/utd-internet-ag/DE0005089031,,,,,,
VBK,,,https://www.boerse.de/aktien/verbio-se-on/DE000A0JL9W6,,,,,,
VIB3,,,https://www.boerse.de/aktien/villeroy-boch-ag/DE0007657231,,,,,,
V6C,,,https://www.boerse.de/aktien/viscom/DE0007846867,,,,,,
VOW,,,https://www.boerse.de/aktien/volkswagen-ag-st/DE0007664005,,,,,,
VOW3,,,https://www.boerse.de/aktien/volkswagen-ag-vzo/DE0007664039,,,,,,
VTAG,,,https://www.boerse.de/aktien/voltatron/DE000A2E4LE9,,,,,,
VNA,,,https://www.boerse.de/aktien/vonovia-se-na/DE000A1ML7J1,,,,,,
VOS,,,https://www.boerse.de/aktien/vossloh-ag/DE0007667107,,,,,,
VUL,,,https://www.boerse.de/aktien/vulcan-energy-resources-limited/AU0000066086,,,,,,
WCH,,,https://www.boerse.de/aktien/wacker-chemie-ag/DE000WCH8881,,,,,,
WAC,,,https://www.boerse.de/aktien/wacker-neuson-se-na/DE000WACK012,,,,,,
WSU,,,https://www.boerse.de/aktien/washtec-ag/DE0007507501,,,,,,
WEW,,,https://www.boerse.de/aktien/westwing-group/DE000A2N4H07,,,,,,
WUW,,,https://www.boerse.de/aktien/wuestenrot-wuerttembergische-ag/DE0008051004,,,,,,
YOC,,,https://www.boerse.de/aktien/yoc-ag/DE0005932735,,,,,,
ZAL,,,https://www.boerse.de/aktien/zalando/DE000ZAL1111,,,,,,
TIMA,,,https://www.boerse.de/aktien/zeal-network-se-na/DE000ZEAL241,,,,,,
2INV,,,https://www.boerse.de/aktien/2invest-ag-na/DE000A3H3L44,,,,,,
HRPK,,,https://www.boerse.de/aktien/7c-solarparken-ag/DE000A11QW68,,,,,,
LUM,,,https://www.boerse.de/aktien/a-i-s/DE0006492903,,,,,,
ACWN,,,https://www.boerse.de/aktien/a-s-creation-tapeten/DE000A1TNNN5,,,,,,
AAQ1,,,https://www.boerse.de/aktien/aap-implantate/DE000A3H2101,,,,,,
A4Y,,,https://www.boerse.de/aktien/accentro-real-estate-ag/DE000A40ZVK3,,,,,,
ADV,,,https://www.boerse.de/aktien/adtran-networks-se/DE0005103006,,,,,,
AHH,,,https://www.boerse.de/aktien/ahlers-ag-na/DE0005009740,,,,,,
ALG,,,https://www.boerse.de/aktien/albis-leasing-ag/DE0006569403,,,,,,
AEIN,,,https://www.boerse.de/aktien/allgeier-se-na/DE000A2GS633,,,,,,
AMA,,,https://www.boerse.de/aktien/altech-advanced-materials-na/DE000A31C3Y4,,,,,,
DTD2,,,https://www.boerse.de/aktien/b-s-banksysteme-ag/DE0001262152,,,,,,
BEZ,,,https://www.boerse.de/aktien/berentzen-gruppe/DE0005201602,,,,,,
